tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Auckland,ASB Classic,Mayer,Johnson,Kohlschreiber,Fognini,R32,,Quarterfinals,,1.53,2.54,,
Auckland,ASB Classic,Berrettini,McDonald,Norrie,Fritz,R32,,Quarterfinals,,1.82,2.01,,
Auckland,ASB Classic,Sandgren,Marterer,Struff,Carreno,R32,,Quarterfinals,,1.8,2.02,,
Auckland,ASB Classic,Humbert,Cuevas,Sandgren,Kohlschreiber,R32,,Semifinals,,2.9,1.42,,
Auckland,ASB Classic,Kohlschreiber,Klahn,Norrie,Struff,R32,,Semifinals,,1.64,2.27,,
Auckland,ASB Classic,Gojowczyk,Pella,Sandgren,Norrie,R32,,The Final,,2.18,1.7,,
Sydney,Sydney International,De,Seppi,Klizan,Popyrin,F,,1st Round,,1.68,2.18,,
Sydney,Sydney International,Seppi,Schwartzman,Thompson,Mannarino,SF,,1st Round,,1.63,2.28,,
Sydney,Sydney International,De,Simon,Querrey,Jaziri,SF,,1st Round,,1.36,3.16,,
Sydney,Sydney International,Seppi,Tsitsipas,Opelka,Ramos-Vinolas,QF,,1st Round,,1.59,2.36,,
Sydney,Sydney International,Schwartzman,Nishioka,De,Lajovic,QF,,1st Round,,1.29,3.59,,
Sydney,Sydney International,Simon,Millman,Andreozzi,Ebden,QF,,1st Round,,4.2,1.22,,
Sydney,Sydney International,De,Thompson,Nishioka,Harrison,QF,,1st Round,,1.72,2.13,,
Sydney,Sydney International,Tsitsipas,Andreozzi,Seppi,Chardy,R16,,1st Round,,2.43,1.56,,
Sydney,Sydney International,Seppi,Klizan,Garcia-Lopez,Kudla,R16,,1st Round,,2.07,1.76,,
Sydney,Sydney International,Schwartzman,Garcia,Rublev,Pouille,R16,,1st Round,,1.53,2.5,,
Sydney,Sydney International,Nishioka,Rublev,Millman,Tiafoe,R16,,1st Round,,1.61,2.33,,
Sydney,Sydney International,Millman,Fucsovics,Fucsovics,Duckworth,R16,,1st Round,,1.36,3.15,,
Sydney,Sydney International,Simon,Querrey,Thompson,Daniel,R16,,2nd Round,,1.47,2.69,,
Sydney,Sydney International,De,Opelka,Nishioka,Rublev,R16,,2nd Round,,2.4,1.57,,
Sydney,Sydney International,Thompson,Daniel,De,Opelka,R16,,2nd Round,,1.17,5.39,,
Sydney,Sydney International,Andreozzi,Ebden,Schwartzman,Garcia-Lopez,R32,,2nd Round,,1.58,2.4,,
Sydney,Sydney International,Klizan,Popyrin,Seppi,Klizan,R32,,2nd Round,,1.81,2,,
Sydney,Sydney International,Seppi,Chardy,Tsitsipas,Andreozzi,R32,,2nd Round,,1.14,5.64,,
Sydney,Sydney International,Garcia,Kudla,Millman,Fucsovics,R32,,2nd Round,,2.07,1.76,,
Sydney,Sydney International,Nishioka,Harrison,Simon,Querrey,R32,,2nd Round,,1.93,1.88,,
Sydney,Sydney International,Rublev,Pouille,Seppi,Tsitsipas,R32,,Quarterfinals,,3.49,1.31,,
Sydney,Sydney International,Fucsovics,Duckworth,Schwartzman,Nishioka,R32,,Quarterfinals,,1.74,2.11,,
Sydney,Sydney International,Millman,Tiafoe,De,Thompson,R32,,Quarterfinals,,1.29,3.6,,
Sydney,Sydney International,Querrey,Jaziri,Simon,Millman,R32,,Quarterfinals,,1.8,2.02,,
Sydney,Sydney International,De,Lajovic,Seppi,Schwartzman,R32,,Semifinals,,2.63,1.5,,
Sydney,Sydney International,Opelka,Ramos,De,Simon,R32,,Semifinals,,1.42,2.91,,
Sydney,Sydney International,Thompson,Mannarino,De,Seppi,R32,,The Final,,1.36,3.22,,
