tourney_name,Tournament,winner_name,loser_name,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Pune,Tata Open,Gilles Simon,Tennys Sandgren,Djere L.,Copil M.,R32,,1st Round,,2.82,1.42,,
Pune,Tata Open,Pierre Hugues Herbert,Marco Cecchinato,Haase R.,Kavcic B.,R32,,1st Round,,1.33,3.27,,
Pune,Tata Open,Yuki Bhambri,Arjun Kadhe,Bhambri Y.,Kadhe A.,R32,,1st Round,,1.08,7.76,,
Pune,Tata Open,Ramkumar Ramanathan,Roberto Carballes Baena,Monteiro T.,Bemelmans R.,R32,,1st Round,,1.92,1.86,,
Pune,Tata Open,Kevin Anderson,Thiago Monteiro,Paire B.,Fucsovics M.,R16,,2nd Round,,2.13,1.7,,
Pune,Tata Open,Mikhail Kukushkin,Laslo Djere,Herbert P.H.,Bhambri Y.,R16,,2nd Round,,2.34,1.59,,
Pune,Tata Open,Benoit Paire,Marton Fucsovics,Haase R.,Jarry N.,R16,,2nd Round,,1.33,3.25,,
Pune,Tata Open,Robin Haase,Nicolas Jarry,Simon G.,Bautista Agut R.,R16,,2nd Round,,3.53,1.29,,
Pune,Tata Open,Ricardo Ojeda Lara,Ilya Ivashka,Kukushkin M.,Djere L.,R16,,2nd Round,,1.35,3.14,,
Pune,Tata Open,Gilles Simon,Roberto Bautista Agut,Cilic M.,Ramanathan R.,R16,,2nd Round,,1.08,7.98,,
Pune,Tata Open,Pierre Hugues Herbert,Yuki Bhambri,Ojeda Lara R.,Ivashka I.,R16,,2nd Round,,2.76,1.43,,
Pune,Tata Open,Marin Cilic,Ramkumar Ramanathan,Anderson K.,Monteiro T.,R16,,2nd Round,,1.09,7.26,,
Pune,Tata Open,Kevin Anderson,Mikhail Kukushkin,Cilic M.,Herbert P.H.,QF,,Quarterfinals,,1.16,5.05,,
Pune,Tata Open,Benoit Paire,Robin Haase,Simon G.,Ojeda Lara R.,QF,,Quarterfinals,,1.14,5.52,,
Pune,Tata Open,Gilles Simon,Ricardo Ojeda Lara,Anderson K.,Kukushkin M.,QF,,Quarterfinals,,1.22,4.27,,
Pune,Tata Open,Marin Cilic,Pierre Hugues Herbert,Paire B.,Haase R.,QF,,Quarterfinals,,2.16,1.68,,
Pune,Tata Open,Kevin Anderson,Benoit Paire,Simon G.,Cilic M.,SF,,Semifinals,,3.35,1.32,,
Pune,Tata Open,Gilles Simon,Marin Cilic,Anderson K.,Paire B.,SF,,Semifinals,,1.3,3.52,,
Pune,Tata Open,Gilles Simon,Kevin Anderson,Simon G.,Anderson K.,F,,The Final,,2.75,1.45,,
Auckland,ASB Classic,Denis Shapovalov,Rogerio Dutra Silva,Sousa J.,Young D.,R32,,1st Round,,1.76,2.05,,
Auckland,ASB Classic,Karen Khachanov,Yuichi Sugita,Ferrer D.,Wu Y.,R32,,1st Round,,1.22,4.26,,
Auckland,ASB Classic,Pablo Cuevas,Taro Daniel,Khachanov K.,Sugita Y.,R32,,1st Round,,1.59,2.33,,
Auckland,ASB Classic,Hyeon Chung,Tennys Sandgren,Bautista Agut R.,Venus M.,R32,,1st Round,,1.03,12.33,,
