tourney_name,X,X.1,Winner,Loser,roundno,Round.,AvgW,AvgL,Avgoddsw,Avgoddsl
Australian Open,De,Laaksonen,Fognini,Munar,6,7,1.45,2.79,,
Australian Open,Schwartzman,Kudla,Ivashka,Jaziri,6,7,1.42,2.88,,
Australian Open,Berdych,Haase,Mayer,Jarry,6,7,1.81,2.02,,
Australian Open,Fabbiano,Opelka,Nishikori,Majchrzak,6,7,1.02,15.25,,
Australian Open,Dimitrov,Cuevas,Herbert,Querrey,6,7,2.69,1.48,,
Australian Open,Seppi,Thompson,Fucsovics,Ramos-Vinolas,6,7,1.2,4.66,,
Australian Open,Tiafoe,Anderson,Harrison,Vesely,6,7,1.59,2.38,,
Australian Open,Federer,Evans,Medvedev,Harris,6,7,1.17,5.11,,
Australian Open,Fritz,Monfils,Karlovic,Hurkacz,6,7,1.79,2.05,,
Australian Open,Basilashvili,Travaglia,Coric,Darcis,6,7,1.16,5.37,,
Australian Open,Tsitsipas,Troicki,Chung,Klahn,6,7,1.52,2.54,,
Australian Open,Khachanov,Nishioka,Bolt,Sock,6,7,3.17,1.36,,
Australian Open,Bautista,Millman,Sousa,Pella,6,7,1.77,2.07,,
Australian Open,Verdasco,Albot,Carreno,Vanni,6,7,1.28,3.74,,
Australian Open,Cilic,McDonald,Donskoy,Djere,6,7,2,1.83,,
Australian Open,Popyrin,Thiem,Simon,Fratangelo,6,7,1.24,4.08,,
Australian Open,Pouille,Marterer,Zverev,Bedene,6,7,1.11,6.62,,
Australian Open,Krajinovic,Donskoy,Goffin,Garin,6,7,1.17,5.19,,
Australian Open,Coric,Fucsovics,Shapovalov,Andujar,6,7,1.11,6.89,,
Australian Open,Raonic,Wawrinka,Daniel,Kokkinakis,6,7,3.8,1.28,,
Australian Open,Hugues,Chung,Pouille,Kukushkin,6,7,1.6,2.37,,
Australian Open,Bolt,Simon,Copil,Granollers,6,7,1.62,2.33,,
Australian Open,Zverev,Chardy,Kohlschreiber,Li,6,7,1.04,11.78,,
Australian Open,Nishikori,Karlovic,Tsonga,Klizan,6,7,1.3,3.64,,
Australian Open,Sousa,Kohlschreiber,Chardy,Humbert,6,7,1.59,2.39,,
Australian Open,Carreno,Ivashka,Krajinovic,Cecchinato,6,7,1.64,2.29,,
Australian Open,Fognini,Mayer,Popyrin,Zverev,6,7,1.44,2.82,,
Australian Open,Medvedev,Harrison,Wawrinka,Gulbis,6,7,1.25,4.1,,
Australian Open,Goffin,Copil,Marterer,Sakharov,6,7,1.31,3.53,,
Australian Open,Shapovalov,Daniel,Djokovic,Krueger,6,7,1.01,21.57,,
Australian Open,Djokovic,Tsonga,Raonic,Kyrgios,6,7,1.77,2.07,,
Australian Open,Nadal,Duckworth,Thiem,Paire,7,7,1.29,3.68,,
Australian Open,Ebden,Lennard,Schwartzman,Kudla,7,6,1.19,4.84,,
Australian Open,Laaksonen,Basic,Basilashvili,Travaglia,7,6,1.29,3.69,,
Australian Open,De,Sousa,Tsitsipas,Troicki,7,6,1.12,6.45,,
Australian Open,Schwartzman,Molleker,Seppi,Thompson,7,6,1.69,2.19,,
Australian Open,Kudla,Polmans,Berdych,Haase,7,6,1.11,6.68,,
Australian Open,Haase,Garcia,Cilic,Mcdonald,7,6,1.1,7.45,,
Australian Open,Berdych,Edmund,Tiafoe,Anderson,7,6,4.98,1.18,,
Australian Open,Opelka,Isner,Verdasco,Albot,7,6,1.22,4.41,,
Australian Open,Fabbiano,Kubler,Federer,Evans,7,6,1.02,15.48,,
Australian Open,Cuevas,Lajovic,Fritz,Monfils,7,6,2.37,1.6,,
Australian Open,Dimitrov,Tipsarevic,Khachanov,Nishioka,7,6,1.22,4.36,,
Australian Open,Seppi,Johnson,Fabbiano,Opelka,7,6,3.25,1.35,,
Australian Open,Thompson,Lopez,Bautista,Millman,7,6,1.32,3.46,,
Australian Open,Tiafoe,Gunneswaran,Dimitrov,Cuevas,7,6,1.13,6.03,,
Australian Open,Anderson,Mannarino,De,Laaksonen,7,6,1.05,10.7,,
Australian Open,Federer,Istomin,Nadal,Ebden,7,6,1.06,9.92,,
Australian Open,Evans,Ito,Nishikori,Karlovic,7,6,1.16,5.25,,
Australian Open,Fritz,Norrie,Raonic,Wawrinka,7,6,1.29,3.64,,
Australian Open,Monfils,Dzumhur,Sousa,Kohlschreiber,7,6,2.95,1.41,,
Australian Open,Basilashvili,Eubanks,Carreno,Ivashka,7,6,1.63,2.3,,
Australian Open,Travaglia,Andreozzi,Coric,Fucsovics,7,6,1.29,3.69,,
Australian Open,Troicki,Carballes,Fognini,Mayer,7,6,1.6,2.37,,
Australian Open,Tsitsipas,Berrettini,Herbert,Chung,7,6,2.28,1.65,,
Australian Open,Khachanov,Gojowczyk,Krajinovic,Donskoy,7,6,1.39,3.05,,
Australian Open,Nishioka,Sandgren,Goffin,Copil,7,6,1.22,4.46,,
Australian Open,Millman,Delbonis,Bolt,Simon,7,6,5.94,1.14,,
Australian Open,Bautista,Murray,Pouille,Marterer,7,6,1.73,2.14,,
Australian Open,Verdasco,Kecmanovic,Shapovalov,Daniel,7,6,1.15,5.59,,
Australian Open,Albot,Mmoh,Popyrin,Thiem,7,6,5.04,1.18,,
Australian Open,McDonald,Rublev,Medvedev,Harrison,7,6,1.2,4.66,,
Australian Open,Cilic,Tomic,Zverev,Chardy,7,6,1.12,6.58,,
Australian Open,Thiem,Paire,Djokovic,Tsonga,7,6,1.06,9.59,,
Australian Open,Popyrin,Zverev,Tsitsipas,Basilashvili,7,5,1.35,3.27,,
Australian Open,Marterer,Sakharov,Berdych,Schwartzman,7,5,1.26,4.04,,
Australian Open,Pouille,Kukushkin,Federer,Fritz,7,5,1.05,10.47,,
Australian Open,Krajinovic,Cecchinato,Tiafoe,Seppi,7,5,2.03,1.81,,
Australian Open,Donskoy,Djere,Dimitrov,Fabbiano,7,5,1.07,9.13,,
Australian Open,Fucsovics,Ramos,Bautista,Khachanov,7,5,2.6,1.51,,
Australian Open,Coric,Darcis,Nadal,De,7,5,1.1,7.13,,
Australian Open,Raonic,Kyrgios,Cilic,Verdasco,7,5,1.3,3.63,,
Australian Open,Wawrinka,Gulbis,Medvedev,Goffin,7,5,1.59,2.39,,
Australian Open,Hugues,Querrey,Nishikori,Sousa,7,5,1.15,5.67,,
Australian Open,Chung,Klahn,Carreno,Fognini,7,5,2.08,1.77,,
Australian Open,Simon,Fratangelo,Raonic,Herbert,7,5,1.17,5.28,,
Australian Open,Bolt,Sock,Djokovic,Shapovalov,7,5,1.04,11.58,,
Australian Open,Chardy,Humbert,Coric,Krajinovic,7,5,1.16,5.44,,
Australian Open,Zverev,Bedene,Zverev,Bolt,7,5,1.05,10.63,,
Australian Open,Nishikori,Majchrzak,Pouille,Popyrin,7,5,1.49,2.67,,
Australian Open,Karlovic,Hurkacz,Tiafoe,Dimitrov,7,4,3.02,1.4,,
Australian Open,Sousa,Pella,Nadal,Berdych,7,4,1.16,5.3,,
Australian Open,Kohlschreiber,Li,Bautista,Cilic,7,4,2.15,1.72,,
Australian Open,Carreno,Vanni,Tsitsipas,Federer,7,4,5.42,1.16,,
Australian Open,Ivashka,Jaziri,Raonic,Zverev,7,4,2.13,1.74,,
Australian Open,Mayer,Jarry,Pouille,Coric,7,4,3.83,1.27,,
Australian Open,Fognini,Munar,Nishikori,Carreno,7,4,1.21,4.62,,
Australian Open,Medvedev,Harris,Djokovic,Medvedev,7,4,1.13,6.4,,
Australian Open,Harrison,Vesely,Tsitsipas,Bautista,7,3,1.98,1.86,,
Australian Open,Copil,Granollers,Nadal,Tiafoe,7,3,1.05,11.47,,
Australian Open,Goffin,Garin,Pouille,Raonic,7,3,5.54,1.16,,
Australian Open,Shapovalov,Andujar,Djokovic,Nishikori,7,3,1.1,7.62,,
Australian Open,Daniel,Kokkinakis,Nadal,Tsitsipas,7,2,1.18,5.19,,
Australian Open,Tsonga,Klizan,Djokovic,Pouille,7,2,1.06,10.45,,
Australian Open,Djokovic,Krueger,Djokovic,Nadal,7,1,1.75,2.15,,
Cordoba,Ignacio,Pella,Sonego,Andujar,1,5,2.13,1.7,,
Cordoba,Pella,Cuevas,Bedene,Marterer,2,5,1.95,1.84,,
Cordoba,Ignacio,Delbonis,Cachin,Norrie,2,5,2.41,1.56,,
Cordoba,Cuevas,Bedene,Pella,Lorenzi,3,5,1.27,3.74,,
Cordoba,Pella,Schwartzman,Jaziri,Berlocq,3,5,2.9,1.4,,
Cordoba,Ignacio,Cachin,Giannessi,Seyboth,3,5,1.49,2.61,,
Cordoba,Delbonis,Munar,Carballes,Martin,3,5,1.51,2.54,,
Cordoba,Bedene,Fognini,Londero,Jarry,4,5,2.38,1.57,,
Cordoba,Cuevas,Jaziri,Cuevas,Bagnis,4,5,1.61,2.3,,
Cordoba,Schwartzman,Giannessi,Munar,Andreozzi,4,5,1.55,2.44,,
Cordoba,Pella,Ramos,Ramos-Vinolas,Dellien,4,5,1.52,2.47,,
Cordoba,Ignacio,Sonego,Delbonis,Mayer,4,5,1.85,1.94,,
Cordoba,Cachin,Carreno,Londero,Sonego,4,4,2.18,1.68,,
Cordoba,Delbonis,Carballes,Cachin,Carreno,4,4,3.7,1.28,,
Cordoba,Munar,Cecchinato,Munar,Cecchinato,4,4,1.98,1.83,,
Cordoba,Bedene,Marterer,Delbonis,Carballes,5,4,1.46,2.73,,
Cordoba,Cuevas,Bagnis,Cuevas,Jaziri,5,4,1.22,4.25,,
Cordoba,Jaziri,Berlocq,Bedene,Fognini,5,4,2.63,1.49,,
Cordoba,Giannessi,Seyboth,Schwartzman,Giannessi,5,4,1.08,7.99,,
Cordoba,Ramos,Dellien,Pella,Ramos-Vinolas,5,4,1.38,3.04,,
Cordoba,Pella,Lorenzi,Delbonis,Munar,5,3,1.69,2.17,,
Cordoba,Ignacio,Jarry,Londero,Cachin,5,3,1.72,2.13,,
Cordoba,Sonego,Andujar,Pella,Schwartzman,5,3,2.69,1.48,,
Cordoba,Cachin,Norrie,Cuevas,Bedene,5,3,1.72,2.09,,
Cordoba,Delbonis,Mayer,Londero,Delbonis,5,2,3.52,1.31,,
Cordoba,Carballes,Martin,Pella,Cuevas,5,2,1.75,2.1,,
Cordoba,Munar,Andreozzi,Londero,Pella,5,1,2.96,1.4,,
Montpellier,Tsonga,Hugues,Granollers,Karlovic,1,5,2.76,1.45,,
Montpellier,Tsonga,Albot,Tsonga,Humbert,2,5,1.3,3.48,,
Montpellier,Hugues,Berdych,Chardy,Menendez-Maceiras,2,5,1.34,3.08,,
Montpellier,Albot,Baghdatis,Gulbis,Hurkacz,3,5,2.03,1.79,,
Montpellier,Tsonga,Chardy,Hoang,Darcis,3,5,1.57,2.41,,
Montpellier,Hugues,Shapovalov,Krajinovic,Mahut,3,5,1.49,2.62,,
Montpellier,Berdych,Krajinovic,Berdych,Bachinger,3,5,1.15,5.41,,
Montpellier,Baghdatis,Pouille,Paire,Donskoy,4,5,1.33,3.32,,
Montpellier,Albot,Gulbis,Herbert,Kudla,4,5,1.4,2.93,,
Montpellier,Tsonga,Simon,Baghdatis,Bemelmans,4,5,1.47,2.69,,
Montpellier,Chardy,Hoang,Ivashka,Fabbiano,4,5,1.51,2.56,,
Montpellier,Hugues,Ivashka,Albot,Kohlschreiber,4,5,3.12,1.36,,
Montpellier,Shapovalov,Granollers,Chardy,Hoang,4,4,1.49,2.62,,
Montpellier,Berdych,Paire,Berdych,Paire,4,4,1.47,2.69,,
Montpellier,Krajinovic,Goffin,Tsonga,Simon,4,4,1.55,2.46,,
Montpellier,Baghdatis,Bemelmans,Krajinovic,Goffin,5,4,2.89,1.42,,
Montpellier,Gulbis,Hurkacz,Shapovalov,Granollers,5,4,1.3,3.53,,
Montpellier,Albot,Kohlschreiber,Albot,Gulbis,5,4,2.4,1.58,,
Montpellier,Tsonga,Humbert,Herbert,Ivashka,5,4,1.26,3.82,,
Montpellier,Hoang,Darcis,Baghdatis,Pouille,5,4,2.73,1.46,,
Montpellier,Chardy,Menendez,Berdych,Krajinovic,5,3,1.37,3.1,,
Montpellier,Hugues,Kudla,Herbert,Shapovalov,5,3,2.23,1.66,,
Montpellier,Ivashka,Fabbiano,Albot,Baghdatis,5,3,1.98,1.84,,
Montpellier,Granollers,Karlovic,Tsonga,Chardy,5,3,1.46,2.77,,
Montpellier,Paire,Donskoy,Herbert,Berdych,5,2,2.44,1.57,,
Montpellier,Berdych,Bachinger,Tsonga,Albot,5,2,1.21,4.43,,
Montpellier,Krajinovic,Mahut,Tsonga,Herbert,5,1,1.57,2.42,,
Sofia,Medvedev,Fucsovics,Ebden,Andreev,1,5,1.04,12,,
Sofia,Fucsovics,Berrettini,Copil,Wawrinka,2,5,2.46,1.55,,
Sofia,Medvedev,Monfils,Brands,Basilashvili,2,5,3.64,1.29,,
Sofia,Berrettini,Verdasco,Maden,Mannarino,3,5,2.1,1.74,,
Sofia,Fucsovics,Bautista,Struff,Travaglia,3,5,1.44,2.78,,
